card_name,route_id,on_area_name,on_lon,on_lat,on_dong,on_hour,on_minute,on_second,off_area_name,off_lon,off_lat,off_dong,off_hour,off_minute,off_second,no_transfer,total_distance,total_duration,카드번호,노선ID,승차일시
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,지하철,미아사거리역,127.030084,37.613251,1109072,10,15,38,창동역,127.04767199999999,37.653205,1110063,10,27,22,0,5700,704,+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,,20171019101538.0
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,버스,창동동아청솔아파트,127.049803,37.65668,1110062,16,42,55,신한은행방학동지점,127.03680700000001,37.662933,1110055,16,52,48,0,1686,593,+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,11110125.0,20171019164255.0
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,버스,국민은행방학지점,127.03424199999999,37.662362,1110057,17,0,46,서울북부지방법원.검찰청.도봉역성황당,127.045102,37.677257,1110065,17,14,21,1,2638,815,+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,11110135.0,20171019170046.0
+++RMwmDvlX7/Bu2YH4Fig119rLahZxZBYhIF0EfftA=,지하철,구산역,126.91723600000002,37.611235,1112056,10,49,14,신설동역,127.02450900000001,37.576044,1101071,11,39,56,0,13600,3042,+++RMwmDvlX7/Bu2YH4Fig119rLahZxZBYhIF0EfftA=,,20171019104914.0
+++RMwmDvlX7/Bu2YH4Fig119rLahZxZBYhIF0EfftA=,지하철,신설동역,127.02450900000001,37.576044,1101071,15,31,5,역촌역,126.92282800000001,37.606211,1112058,16,28,30,0,12200,3445,+++RMwmDvlX7/Bu2YH4Fig119rLahZxZBYhIF0EfftA=,,20171019153105.0
+++SiEJEQjWAlmKA3tCMRO9LFMANuD027C2YFMXFgPA=,지하철,가락시장역,127.11833100000001,37.492969,1124066,18,3,24,천호역,127.123178,37.537911,1125073,18,19,59,0,6200,995,+++SiEJEQjWAlmKA3tCMRO9LFMANuD027C2YFMXFgPA=,,20171019180324.0
+++hwe6sDUIfU418K96nXu2/+QWJM9ZzzBZtxvK3rAM=,지하철,중계역,127.06408400000001,37.645064,1111077,21,31,2,태릉입구역,127.075364,37.618432,1111079,21,39,54,0,3100,532,+++hwe6sDUIfU418K96nXu2/+QWJM9ZzzBZtxvK3rAM=,,20171019213102.0
+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,지하철,우장산역,126.83630900000001,37.548738,1116067,7,50,8,우장산역,126.83630900000001,37.548738,1116067,7,50,11,0,0,3,+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,,20171019075008.0
+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,지하철,수유역,127.02550500000001,37.637873,1109065,9,31,4,수유역,127.02550500000001,37.637873,1109065,9,31,15,0,0,11,+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,,20171019093104.0
+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,버스,수유역,127.02502,37.637598,1109065,9,40,58,덕성여대후문.효문중고교앞,127.017223,37.652775,1110051,9,50,17,1,2541,559,+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,11110582.0,20171019094058.0
+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,버스,등촌3동그랜드백화점,126.838558,37.56009,1116064,19,52,58,명덕고등학교.웰튼병원,126.836345,37.553203,1116067,19,57,38,0,788,280,+++ogj6NDcqECtZxleEzk4vnNYM4RJ4s6tgOqiKH+fI=,11110856.0,20171019195258.0
+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,버스,농협답십리역지점,127.050678,37.568490000000004,1104070,6,54,54,떡전교앞,127.05268000000001,37.584938,1106083,7,6,33,0,2604,699,+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,11110097.0,20171019065454.0
+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,버스,서울성심병원,127.050898,37.584655,1106083,7,10,55,회기시장,127.05658799999999,37.590807,1106072,7,16,2,1,852,307,+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,11110167.0,20171019071055.0
+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,버스,경희중고,127.05774699999999,37.592923,1106089,15,58,9,떡전교사거리.동대문노인복지관,127.051948,37.586473,1106080,16,1,38,0,889,209,+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,11110970.0,20171019155809.0
+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,버스,떡전교앞,127.05264299999999,37.584708,1106083,16,7,44,답십리2동두산아파트,127.05851200000001,37.572755,1106086,16,14,59,1,1527,435,+++r3+FgI85iGPhRcgtiKwftkrmYubIR5ElVCUr2gdw=,11110959.0,20171019160744.0
+++vDzCHwn+LQGQy0eij9gjfqoSwUEiZwxldzKO+2/k=,버스,마천2동윤진빌딩.신동아아파트,127.144172,37.499758,1124056,14,50,33,보인고교.오금동삼성아파트,127.138228,37.496446999999996,1124060,14,54,16,0,996,223,+++vDzCHwn+LQGQy0eij9gjfqoSwUEiZwxldzKO+2/k=,11110209.0,20171019145033.0
+++vDzCHwn+LQGQy0eij9gjfqoSwUEiZwxldzKO+2/k=,버스,삼환아파트,127.13746499999999,37.496575,1124067,15,3,14,장지역.가든파이브,127.125472,37.479907,1124069,15,18,2,1,2866,888,+++vDzCHwn+LQGQy0eij9gjfqoSwUEiZwxldzKO+2/k=,11110419.0,20171019150314.0
+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,버스,길음동동부아파트,127.02334499999999,37.607743,1108066,7,54,39,종로1가,126.98018700000002,37.5704,1101061,8,31,30,0,7305,2211,+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,11110073.0,20171019075439.0
+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,버스,종로1가,126.98018700000002,37.5704,1101061,8,31,45,종로1가,126.98018700000002,37.5704,1101061,8,34,28,1,0,163,+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,41110215.0,20171019083145.0
+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,버스,경복궁,126.978748,37.575618,1101061,20,52,28,미아리고개.미아리예술극장,127.02181200000001,37.597945,1108058,21,11,59,0,5334,1171,+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,11110027.0,20171019205228.0
+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,버스,미아리고개.미아리예술극장,127.02181200000001,37.597945,1108058,23,33,41,돈암동삼성아파트입구,127.024597,37.601918,1108058,23,35,53,0,587,132,+++z2QZbaM3N3dPvf59qc6qlvCYjeXlzMcMUd2v04n0=,11110021.0,20171019233341.0
++/2SXEIGG51APpoYQhtiLMn2e1d5zZjYSZOpFgutbY=,지하철,우장산역,126.83630900000001,37.548738,1116067,7,24,43,여의도역,126.92475800000001,37.522027,1119054,7,47,44,0,10100,1381,++/2SXEIGG51APpoYQhtiLMn2e1d5zZjYSZOpFgutbY=,,20171019072443.0
